state_code,county,lat,long,TEST_zipcode,TEST_county,TEST_state,TEST_population,TEST_population_density
MD,Anne Arundel,38.991617,-76.56089399999999,21401,Anne Arundel County,MD,36012,1825.0
MD,Charles,38.472853,-77.015427,20646,Charles County,MD,18890,229.0
MI,Bay,43.699711,-83.978701,48631,Bay County,MI,4643,140.0
MI,Charlevoix,45.513164,-85.45039200000001,49782,Charlevoix County,MI,657,9.0
MI,Leelanau,45.146182,-86.051574,49654,Leelanau County,MI,690,20.0
MI,Macomb,42.671553,-82.911456,48042,Macomb County,MI,27291,1201.0
MN,Wright,45.175090999999995,-93.966396,55358,Wright County,MN,4982,91.0
MS,Copiah,31.866915000000002,-90.448758,39083,Copiah County,MS,10626,32.0
MS,Leflore,33.54979,-90.294934,38952,Leflore County,MS,611,6.0
MS,Pearl River,30.774793,-89.586904,39470,Pearl River County,MS,13011,30.0
MO,Henry,38.386491,-93.79262800000001,64735,Henry County,MO,13258,50.0
MT,Gallatin,45.518054,-111.163921,59718,Gallatin County,MT,27367,115.0
MT,Lewis and Clark,47.132013,-112.37336699999999,59633,Lewis and Clark County,MT,206,1.0
MT,Silver Bow,45.896232,-112.660071,59750,Silver Bow County,MT,309,5.0
MT,Yellowstone,45.936987,-108.276656,59037,Yellowstone County,MT,1672,9.0
NJ,Ocean,39.865669,-74.258864,08731,Ocean County,NJ,20009,418.0
NY,Schenectady,42.817552,-74.043559,12306,Schenectady County,NY,25636,595.0
NC,Wayne,35.35419,-78.00867,27531,Wayne County,NC,594,166.0
OK,Oklahoma,35.554611,-97.409401,73151,Oklahoma County,OK,1446,501.0
PA,Chester,39.974028999999994,-75.749752,19372,Chester County,PA,1360,2328.0
PA,Cumberland,40.164805,-77.263442,17015,Cumberland County,PA,20798,183.0
PA,Washington,40.200005,-80.25213199999999,15301,Washington County,PA,49331,405.0
Puerto Rico,Unknown,,,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
SD,McCook,43.680415999999994,-97.358048,57012,McCook County,SD,1160,14.0
TN,Hamilton,35.163472,-85.20184300000001,37343,Hamilton County,TN,40042,952.0
TN,Jefferson,36.048338,-83.44114300000001,37725,Jefferson County,TN,16919,179.0
TN,Rutherford,35.843369,-86.417213,37128,Rutherford County,TN,38966,721.0
TX,Bell,31.042748,-97.48127,76502,Bell County,TX,31545,507.0
TX,El Paso,31.766479999999998,-106.241424,79936,El Paso County,TX,111086,4154.0
TX,Galveston,29.233453000000004,-94.888456,77551,Galveston County,TX,17753,4655.0
TX,Smith,32.377016,-95.270041,75702,Smith County,TX,27069,1984.0
TX,Travis,30.239513,-97.69126999999999,78702,Travis County,TX,21334,4268.0
VA,Harrisonburg city,38.436254999999996,-78.87330299999998,22801,Harrisonburg city,VA,37989,1170.0
WA,Grant,47.213633,-119.46778799999998,98837,Grant County,WA,39722,82.0
WI,Milwaukee,43.01766,-87.481554,53235,Milwaukee County,WI,9270,3651.0
WI,Racine,42.754121999999995,-87.420877,53404,Racine County,WI,15658,3516.0
WI,Sheboygan,43.741232000000004,-87.731516,53081,Sheboygan County,WI,43129,1696.0
WY,Fremont,43.054831,-108.608935,82510,Fremont County,WY,423,19.0
AL,Baldwin,30.659218,-87.74606700000001,36578,Baldwin County,AL,1749,57.0
AZ,Graham,32.931828,-109.87831000000001,85543,Graham County,AZ,3822,6.0
CA,San Luis Obispo,35.385224,-120.447544,93432,San Luis Obispo County,CA,1384,15.0
CO,Boulder,40.09497,-105.397691,80302,Boulder County,CO,26941,326.0
CO,Mesa,39.019524,-108.460571,81503,Mesa County,CO,15250,435.0
